"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Warning","2026-05-04 17:08:21","2026-05-04 19:03:18","RESOLVED","ODC","Network code NL missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-05-04 17:08:20","2026-05-04 19:03:17","RESOLVED","INGV","Network code BA missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-04 17:08:19","2026-05-04 19:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-04 17:08:18","2026-05-04 19:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-04 17:08:17","2026-05-04 19:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-04 17:08:16","2026-05-04 19:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-04 17:08:15","2026-05-04 19:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-05-04 17:08:14","2026-05-04 19:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-05-04 17:08:13","2026-05-04 19:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","1h 54m 57s","No","Actions (10)","format: xml, routing: central"
"Warning","2026-05-04 17:08:12","2026-05-04 19:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-05-01 07:08:16","2026-05-02 07:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","23h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-04-29 07:08:13","2026-04-30 07:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","23h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-04-25 07:08:19","2026-04-26 07:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","23h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-04-05 07:08:18","2026-04-06 07:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","23h 54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-04-04 17:03:10","2026-04-05 17:03:10","RESOLVED","NIEP","NIEP disapeared from EIDA central routing service","1d","No","Actions (6)","format: json, routing: central"
"Warning","2026-04-04 07:08:17","2026-04-05 07:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","23h 54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-03-20 16:08:15","2026-03-20 18:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central, staging"
"Warning","2026-03-20 16:08:14","2026-03-20 18:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-20 16:08:13","2026-03-20 18:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-20 16:08:12","2026-03-20 18:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:24","2026-03-13 18:03:21","RESOLVED","ETH","Network code CH missing in central routing for webservice station","1h 54m 57s","No","Actions (10)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:23","2026-03-13 18:03:20","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:22","2026-03-13 18:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:21","2026-03-13 18:03:18","RESOLVED","ODC","Network code NL missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:20","2026-03-13 18:03:17","RESOLVED","INGV","Network code BA missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:19","2026-03-13 18:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:18","2026-03-13 18:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:17","2026-03-13 18:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:16","2026-03-13 18:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:15","2026-03-13 18:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central, staging"
"Warning","2026-03-13 16:08:14","2026-03-13 18:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:13","2026-03-13 18:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","1h 54m 57s","No","Actions (8)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-13 16:08:12","2026-03-13 18:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-12 10:08:12","2026-03-12 12:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","1h 54m 57s","No","Actions (6)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-08 06:08:25","2026-03-09 06:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","23h 54m 57s","No","Actions (4)","Application: routing_service, format: xml, routing: central"
"Warning","2026-03-04 17:33:55","2026-03-05 06:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","12h 29m 27s","No","Actions (4)","Application: routing_service, format: xml, routing: central"
"Warning","2026-02-26 14:08:25","2026-02-27 06:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","15h 54m 57s","No","Actions (4)","Application: routing_service, format: xml, routing: central"
"Warning","2026-02-10 06:08:22","2026-02-11 06:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","23h 54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 05:08:25","2026-02-10 05:56:55","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","48m 30s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 05:08:24","2026-02-10 05:56:54","RESOLVED","ETH","Network code CH missing in central routing for webservice station","48m 30s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-02-10 05:08:23","2026-02-10 05:56:53","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","48m 30s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 05:08:22","2026-02-10 05:56:52","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","48m 30s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 05:08:21","2026-02-10 05:56:51","RESOLVED","ODC","Network code NL missing in central routing for webservice station","48m 30s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 05:08:20","2026-02-10 05:56:50","RESOLVED","INGV","Network code BA missing in central routing for webservice station","48m 30s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 05:08:19","2026-02-10 05:56:49","RESOLVED","BGS","Network code GB missing in central routing for webservice station","48m 30s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 05:08:18","2026-02-10 05:56:48","RESOLVED","BGR","Network code GR missing in central routing for webservice station","48m 30s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 05:08:17","2026-02-10 05:56:47","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","48m 30s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 05:08:16","2026-02-10 05:56:46","RESOLVED","NOA","Network code HL missing in central routing for webservice station","48m 30s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 05:08:15","2026-02-10 05:56:45","RESOLVED","IGN","Network code ES missing in central routing for webservice station","48m 30s","No","Actions (4)","format: xml, routing: central, staging"
"Warning","2026-02-10 05:08:14","2026-02-10 05:56:44","RESOLVED","LMU","Network code BW missing in central routing for webservice station","48m 30s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 05:08:13","2026-02-10 05:56:43","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","48m 30s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 05:08:12","2026-02-10 05:56:42","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","48m 30s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 03:08:25","2026-02-10 04:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 03:08:24","2026-02-10 04:03:21","RESOLVED","ETH","Network code CH missing in central routing for webservice station","54m 57s","No","Actions (8)","format: xml, routing: central"
"Warning","2026-02-10 03:08:23","2026-02-10 04:03:20","RESOLVED","UIB-NORSAR","Network code NS missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 03:08:22","2026-02-10 04:03:19","RESOLVED","ICGC","Network code CA missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 03:08:21","2026-02-10 04:03:18","RESOLVED","ODC","Network code NL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 03:08:20","2026-02-10 04:03:17","RESOLVED","INGV","Network code BA missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 03:08:19","2026-02-10 04:03:16","RESOLVED","BGS","Network code GB missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 03:08:18","2026-02-10 04:03:15","RESOLVED","BGR","Network code GR missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 03:08:17","2026-02-10 04:03:14","RESOLVED","NIEP","Network code RO missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 03:08:16","2026-02-10 04:03:13","RESOLVED","NOA","Network code HL missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 03:08:15","2026-02-10 04:03:12","RESOLVED","IGN","Network code ES missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central, staging"
"Warning","2026-02-10 03:08:14","2026-02-10 04:03:11","RESOLVED","LMU","Network code BW missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 03:08:13","2026-02-10 04:03:10","RESOLVED","KOERI","Network code KO missing in central routing for webservice station","54m 57s","No","Actions (6)","format: xml, routing: central"
"Warning","2026-02-10 03:08:12","2026-02-10 04:03:09","RESOLVED","GEOFON","Network code GE missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 01:08:25","2026-02-10 02:03:22","RESOLVED","EPOSFR","Network code FR missing in central routing for webservice station","54m 57s","No","Actions (4)","format: xml, routing: central"
"Warning","2026-02-10 01:08:24","2026-02-10 02:03:21","RESOLVED","ETH","Network code CH missing in central routing for webservice station","54m 57s","No","Actions (8)","format: xml, routing: central"
